labid,Sat_w,pHw,pHCaCl,pHKCl,CE_susp,CE_sat,C_Ox,0CaCO3,CEC,Ca,Mg,Na,K,Total_bases,Sat,ESP,co3,clay,silt,sand18,sand30,sand60,sand140,sand200,sand260
64812,40.3,5.85,4.88,4.53,0.23,0.35,1.59,0,25.6,13,2.6,0.4,2.3,18.3,71.5,1.6,,22,55.1,0,0.1,0.2,0.5,10.2,11.9
64814,41.3,7.5,6.6,6.43,0.15,0.36,1.08,0,15.3,7.8,2.1,0.6,1.9,12.4,81,3.9,,18.6,36.4,0,0,0.1,4,18.1,22.8
64819,45,7.14,6.14,5.99,0.08,0.3,0.36,0,22.6,12.8,2.7,0.4,2.1,18,79.6,1.8,,26.4,60,0,0,0.2,1,3.9,8.5
64824,47.3,5.97,5.11,5,0.11,0.3,1.54,0,22.8,11.5,2.4,0.5,1.9,16.3,71.5,2.2,,24.5,60.3,0,0,0.7,0.9,5.1,8.5
64827,36.7,8.66,7.36,6.59,0.12,0.35,0.05,0,16.7,9.2,2.5,1.1,2,14.8,88.6,6.6,,17.3,53.2,0,0,0.3,0.8,12.2,16.2
64830,50,7.15,6.05,5.9,0.1,0.23,0.1,0,24.3,14,3.1,0.6,1.8,19.5,80.2,2.5,,28,56.2,0,0,0.2,0.9,5,9.7
64831,40.3,6.77,5.6,4.94,0.19,0.39,0.37,0,25.3,11.8,3.4,0.4,2.7,18.3,72.3,1.6,,29.2,55.3,0,0,0.5,0.7,6.3,8
64833,40.7,9.24,8.02,7.92,0.31,0.63,0.05,0,26.5,10.7,3.5,4.6,2.5,21.3,80.4,17.4,,18.3,70.3,0,0.3,0.7,1,3.3,6.1
64837,47,6.7,5.46,4.99,0.16,0.42,0.45,0,22.2,12.2,2.8,0.8,1.3,17.1,77,3.6,,25.3,60.3,0,0.3,0.9,1.2,4.7,7.3
64838,38.7,6.74,5.79,5.69,0.11,0.28,1.19,0,17.8,9.5,2.2,0.5,1.7,13.9,78.1,2.8,,20.3,65.3,0,0,0.3,1.1,4.6,8.4
64839,47.3,5.7,4.9,4.64,0.14,0.3,0.08,0,20.2,10,2,0.4,1.5,13.9,68.8,2,,21,62.1,0,0.1,0.8,1.1,5.5,9.4
64841,55,7.63,6.48,5.82,0.2,0.39,0.34,0,22.9,12.8,3,0.6,1.9,18.3,79.9,2.6,,28.2,60,0,0.2,0.7,2.8,3.8,4.3
64843,49.3,6.2,5.17,5.02,0.11,0.31,1.18,0,20.2,10.1,2.2,0.5,1.2,14,69.3,2.5,,18.7,57.6,0,0,0,0.9,6.3,16.5
64845,41.3,8.9,8.06,7.97,1.03,1.42,0.46,3,28.3,,,5.2,2.9,,,18.4,14.3,24.3,49.3,0,0.2,0.6,1,4.6,5.7
64846,34.7,6.13,5.25,5.02,0.14,0.28,,0,23.1,11,2.5,0.5,1.8,15.8,68.4,2.2,,24.5,59.3,0,0.1,0.3,1,5.6,9.2
64850,41.7,7,6.13,6,0.34,0.7,0.37,0,24.2,13.8,2.9,0.4,1.2,18.3,75.5,1.4,,27.9,58.3,0,0,0.3,0.8,3.5,9.2
64853,46,5.65,4.94,4.89,0.15,0.4,1.24,0,17.8,8.6,2,0.5,1.3,12.4,69.7,2.8,,22.1,60.3,0,0.6,0.9,1.2,4.6,10.3
64854,41.7,5.81,4.68,4.58,0.05,0.22,1.19,0,22.1,11.2,2.6,0.4,1.8,16,72.4,1.8,,24.6,65.3,0,0,0.2,0.3,3.6,6
64861,50.7,6.05,5.83,5.27,0.27,0.6,1.69,0,28.7,14.5,3.6,2,2.5,22.6,78.7,7,,24,52.6,0,0,0.1,1.2,10.3,11.8
64863,52,7.2,6.43,6.21,0.3,0.76,0.2,0,28.7,16.3,3.8,0.9,2.2,23.2,80.8,3.1,,30.6,62.6,0,0,0.3,0.8,2.3,3.4
64864,47,8.75,7.15,6.82,0.41,0.71,0.1,2,22.1,,,2.1,1.8,,,9.5,1.8,18.6,60,0,0.5,0.9,1.7,7,9.5
64866,40,5.75,5.12,4.97,0.16,0.35,1.46,0,28.4,12.4,3.3,0.5,2.7,18.9,66.5,1.8,,25.8,52.4,0,0.1,0.5,3.3,7.7,10.2
64872,40,6.21,5.42,5.28,0.1,0.32,1.26,0,26.2,13.2,3.7,0.5,2.5,19.9,76,1.9,,24.6,54.6,0,0,0.1,0.8,6,13.9
64873,47.7,5.8,4.98,4.91,0.14,0.31,1.47,0,18.3,8.3,2.2,0.5,1.6,12.6,68.9,2.7,,20.1,61.2,0,0,0.2,0.6,6.6,11.3
64877,37.7,7.5,6.32,5.49,0.1,0.3,0.1,0,20.5,11.5,2.9,0.8,2.1,17.3,84.4,3.9,,21,60.1,0,0,0.5,1.2,6.3,10.9
64879,52.8,5.58,4.96,4.71,0.16,0.32,1.64,0,26.1,12.8,2.2,0.7,1.7,17.4,66.7,2.7,,25,67.9,0,0.1,0.3,0.9,1.5,4.3
64881,37.3,8.2,7.35,7.22,0.55,1.34,1.13,0,17.9,11.2,2,2.3,2.3,17.8,99.4,12.8,,19.7,58.3,0,0.1,0.6,0.9,9,11.4
64882,54.3,7.7,6.58,6.02,0.21,0.43,0.15,0,28.5,14.7,3.6,1.5,2.8,22.6,79.3,5.3,,33,54.3,0,0,0.1,0.5,4.4,7.7
64886,46.7,7.25,6.42,6.39,0.18,0.45,0.31,0,26.3,13.8,3.4,0.9,2.3,20.4,77.6,3.4,,27.3,50,0,0.1,0.2,0.3,9.8,12.3
64887,45,9.21,7.82,7.7,0.34,0.8,1.32,2,23.4,,,3.3,2.1,,,14.1,1.9,20.1,61,0,0.1,0.3,0.6,7.8,8.2
64888,50,6.98,5.72,5.02,0.12,0.46,0.31,0,29.1,14.2,3.8,0.6,3,21.6,74.2,2.1,,28.9,58.1,0,0,0.1,0.3,2.7,9.9
64891,46.7,7.38,5.9,5.8,0.1,0.37,0.1,0,28.1,14.8,4.2,0.5,2.6,22.1,78.6,1.8,,31.8,59.3,0,0,0,0.2,1.8,6.9
64892,48.3,7.42,6.26,6.01,0.2,0.38,0.15,0,28.6,16.3,3.7,0.9,1.8,22.7,79.4,3.1,,32.1,56,0,0,0,0.7,5,6.2
64895,43.7,9.4,8.31,8.02,0.35,0.86,0.05,2,22.4,,,4,2.6,,,17.9,1.2,21.3,48.9,0,0,0,1.9,9.6,17.1
64898,40,8.22,7.2,7.01,0.18,0.53,0.05,1,19.4,,,0.9,1.8,,,4.6,1.8,20.3,49,0,0,0.2,1.6,9.8,17.3
64903,45,6.25,5.36,5.24,0.12,0.39,1.68,0,19.3,10.3,2.2,0.4,1.5,14.4,74.6,2.1,,23.2,59,0,0.2,1,2.8,4.5,9.3
64905,42,6.86,6,6.48,0.25,0.51,1.2,0,17.4,8.3,2.6,0.4,2.3,13.6,78.2,2.3,,22.3,62.8,0,0.2,0.6,1.1,4.9,8.1
64907,48.7,6.82,5.8,5.41,0.12,0.27,0.36,0,27,13.8,3.8,0.7,2.5,20.8,77,2.6,,29.8,44.3,0,0,0,1.2,9.5,15.2
64908,50,5.44,4.6,4.42,0.31,0.75,1.35,0,24.7,10.9,3,0.6,1.9,16.4,66.3,2.4,,23.6,56.3,0,0.8,0.9,1.4,4.4,12.6
64910,43,7.65,6.64,6.34,0.18,0.34,0.13,0,20.7,12.3,3,0.5,1.2,17,82.1,2.4,,19.5,66.8,0,0.2,0.8,0.9,3.8,8
64913,44,9.33,8.09,7.93,0.36,0.93,0.5,3,21.6,,,4,1.6,5.6,25.9,18.5,26.3,23.5,45.6,0,0,0.3,0.8,1.3,2.2
64916,43,6.68,5.52,5.45,0.1,0.24,1.39,0,19.3,10,2.4,0.4,1.4,14.2,73.6,2.1,,21.3,59.8,0,0,0.3,1.2,5.6,11.8
64917,44,7.13,6.13,6.02,0.44,0.92,1.33,0,23.6,12.8,3.2,0.6,1.9,18.5,78.4,2.5,,20,60.6,0,0,0.2,0.9,7,11.3
64919,47,9.11,7.89,7.36,0.54,0.77,0.38,1,22.9,,,4.1,2.7,,,17.9,0.9,25.9,51,0,0,0.2,1.9,9.1,11
64921,40.7,7.65,6.8,6.65,0.27,0.57,0.05,2,25.4,,,0.7,1.8,,,2.8,1.5,22.5,69.2,0,0,0.2,0.9,2.2,3.5
